Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,,U
1988-05,,U
1988-06,,U
1988-07,,U
1988-08,,U
1988-09,,U
1988-10,,U
1988-11,,U
1988-12,,U
1989-01,, 
1989-02,,U
1989-03,,U
1989-04,-1.41,U
1989-05,6.09,U
1989-06,13.39,U
1989-07,15.55,U
1989-08,13.45,U
1989-09,5.51,U
1989-10,-7.94,U
1989-11,, 
1989-12,,U
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,9.77,U
1990-06,12.6,U
1990-07,16.36,U
1990-08,13.55,U
1990-09,3.6,U
1990-10,-6.41,U
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,,U
1991-03,-16.73,U
1991-04,,U
1991-05,9.89,U
1991-06,16.39,U
1991-07,15.04,U
1991-08,10.81,U
1991-09,6.14,U
1991-10,-6.12,U
1991-11,-22.4,U
1991-12,-22.92,U
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,2.74,U
1992-06,15.6,U
1992-07,16.9,U
1992-08,12.78,U
1992-09,-1.2,U
1992-10,-10.75,U
1992-11,-18.33,U
1992-12,-27.2,U
1993-01,-23.19,U
1993-02,-20.12,U
1993-03,, 
1993-04,0.85,U
1993-05,8.64,U
1993-06,16.09,U
1993-07,19.53,U
1993-08,12.41,U
1993-09,3.95,U
1993-10,-4.13,U
1993-11,-17.29,U
1993-12,-18.76,U
1994-01,, 
1994-02,, 
1994-03,-16.11,U
1994-04,-3.18,U
1994-05,9.54,U
1994-06,13.99,U
1994-07,17.82,U
1994-08,14.04,U
1994-09,3.75,U
1994-10,-7.1,U
1994-11,-21.88,U
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,9.85,U
1995-06,14.42,U
1995-07,16.86,U
1995-08,13.53,U
1995-09,7.89,U
1995-10,-6.37,U
1995-11,-23.0,U
1995-12,-24.65,U
1996-01,, 
1996-02,-21.91,U
1996-03,-12.01,U
1996-04,-4.54,U
1996-05,8.02,U
1996-06,14.37,U
1996-07,16.16,U
1996-08,9.27,U
1996-09,3.57,U
1996-10,-13.45,U
1996-11,-21.02,U
1996-12,, 
1997-01,, 
1997-02,-13.93,U
1997-03,-16.53,U
1997-04,-2.23,U
1997-05,7.17,U
1997-06,16.45,U
1997-07,16.79,U
1997-08,13.2,U
1997-09,7.59,U
1997-10,-9.67,U
1997-11,-16.62,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,14.1,U
1998-07,17.28,U
1998-08,10.79,U
1998-09,6.01,U
1998-10,-5.45,U
1998-11,-17.79,U
1998-12,-22.1,U
1999-01,-30.72,U
1999-02,-27.14,U
1999-03,-15.38,U
1999-04,-3.0,U
1999-05,6.8,U
1999-06,15.41,U
1999-07,15.64,U
1999-08,13.6,U
1999-09,5.6,U
1999-10,-8.12,U
1999-11,-20.06,U
1999-12,-27.09,U
2000-01,-26.2,U
2000-02,-17.09,U
2000-03,-11.65,U
2000-04,-3.41,U
2000-05,4.41,U
2000-06,15.7,U
2000-07,14.68,U
2000-08,9.72,U
2000-09,3.22,U
2000-10,-7.04,U
2000-11,-13.84,U
2000-12,, 
2001-01,, 
2001-02,-17.77,U
2001-03,, 
2001-04,, 
2001-05,4.51,U
2001-06,15.08,U
2001-07,14.78,U
2001-08,11.97,U
2001-09,6.06,U
2001-10,-6.48,U
2001-11,-18.02,U
2001-12,-23.45,U
2002-01,, 
2002-02,-20.54,U
2002-03,-13.22,U
2002-04,-5.53,U
2002-05,7.2,U
2002-06,13.51,U
2002-07,15.63,U
2002-08,10.79,U
2002-09,6.27,U
2002-10,-4.24,U
2002-11,-10.68,U
2002-12,-15.34,U
2003-01,-25.16,U
2003-02,, 
2003-03,-14.47,U
2003-04,-1.95,U
2003-05,5.2,U
2003-06,14.8,U
2003-07,14.5,U
2003-08,12.41,U
2003-09,3.25,U
2003-10,-1.61,U
2003-11,-17.8,U
2003-12,-22.73,U
2004-01,-27.02,U
2004-02,-20.93,U
2004-03,-17.26,U
2004-04,-0.58,U
2004-05,9.59,U
2004-06,18.93,U
2004-07,17.77,U
2004-08,15.01,U
2004-09,1.35,U
2004-10,-4.09,U
2004-11,-17.72,U
2004-12,-22.76,U
2005-01,, 
2005-02,, 
2005-03,-10.59,U
2005-04,-2.84,U
2005-05,11.48,U
2005-06,16.41,U
2005-07,15.58,U
2005-08,13.15,U
2005-09,5.62,U
2005-10,-5.33,U
2005-11,-22.61,U
2005-12,-17.26,U
2006-01,-29.19,U
2006-02,-17.51,U
2006-03,-17.76,U
2006-04,-4.87,U
2006-05,9.0,U
2006-06,13.85,U
2006-07,14.52,U
2006-08,11.31,U
2006-09,7.65,U
2006-10,-2.75,U
2006-11,-22.46,U
2006-12,-18.78,U
2007-01,, 
2007-02,, 
2007-03,-20.89,U
2007-04,1.31,U
2007-05,9.07,U
2007-06,, 
2007-07,18.16,U
2007-08,14.15,U
2007-09,5.85,U
2007-10,-6.72,U
2007-11,-13.46,U
2007-12,-22.67,U
2008-01,-25.02,U
2008-02,-23.77,U
2008-03,-14.48,U
2008-04,-2.62,U
2008-05,7.74,U
2008-06,14.89,U
2008-07,15.27,U
2008-08,11.08,U
2008-09,4.64,U
2008-10,-11.81,U
2008-11,-16.92,U
2008-12,-24.08,U
2009-01,-28.9,U
2009-02,-20.44,U
2009-03,-17.85,U
2009-04,-2.45,U
2009-05,8.74,U
2009-06,14.63,U
2009-07,18.0,U
2009-08,10.69,U
2009-09,6.71,U
2009-10,-3.46,U
2009-11,-21.51,U
2009-12,-20.7,U
2010-01,-27.07,U
2010-02,-19.46,U
2010-03,-13.91,U
2010-04,0.78,U
2010-05,10.77,U
2010-06,15.44,U
2010-07,15.18,U
2010-08,13.73,U
2010-09,5.96,U
2010-10,-4.84,U
2010-11,-11.56,U
2010-12,-30.61,U
2011-01,-24.19,U
2011-02,-20.54,U
2011-03,-15.11,U
2011-04,-4.69,U
2011-05,9.02,U
2011-06,14.1,U
2011-07,15.47,U
2011-08,11.76,U
2011-09,6.77,U
2011-10,-3.36,U
2011-11,-24.0,U
2011-12,-19.49,U
2012-01,-33.17,U
2012-02,-17.78,U
2012-03,-17.8,U
2012-04,0.64,U
2012-05,7.39,U
2012-06,16.06,U
2012-07,14.94,U
2012-08,11.95,U
2012-09,5.01,U
2012-10,-7.02,U
2012-11,-24.48,U
2012-12,-29.19,U
2013-01,-21.79,U
2013-02,-20.48,U
2013-03,-16.09,U
2013-04,-8.52,U
2013-05,4.57,U
2013-06,17.61,U
2013-07,16.58,U
2013-08,12.92,U
2013-09,3.5,U
2013-10,-0.64,U
2013-11,-17.85,U
2013-12,-23.98,U
2014-01,-19.12,U
2014-02,-22.3,U
2014-03,-12.7,U
2014-04,-2.7,U
2014-05,7.88,U
2014-06,13.28,U
2014-07,13.93,U
2014-08,13.16,U
2014-09,5.17,U
2014-10,-5.33,U
2014-11,-15.71,U
2014-12,-16.39,U
2015-01,-23.42,U
2015-02,-18.98,U
2015-03,-11.49,U
2015-04,-0.04,U
2015-05,11.01,U
2015-06,14.45,U
2015-07,16.33,U
2015-08,11.42,U
2015-09,3.54,U
2015-10,-2.97,U
2015-11,-13.68,U
2015-12,-20.43,U
2016-01,-16.08,U
2016-02,-15.07,U
2016-03,-10.53,U
2016-04,-0.51,U
2016-05,10.17,U
2016-06,14.03,U
2016-07,16.5,U
2016-08,13.66,U
2016-09,4.77,U
2016-10,-7.05,U
2016-11,-17.23,U
2016-12,-24.06,U
2017-01,-22.17,U
2017-02,-19.75,U
2017-03,-17.7,U
2017-04,-1.62,U
2017-05,8.89,U
2017-06,15.09,U
2017-07,18.79,U
2017-08,12.12,U
2017-09,6.63,U
2017-10,-3.29,U
2017-11,-16.46,U
2017-12,-15.05,U
2018-01,-21.52,U
2018-02,-18.61,U
2018-03,-10.9,U
2018-04,-3.34,U
2018-05,7.98,U
2018-06,13.85,U
2018-07,17.07,U
2018-08,10.96,U
2018-09,6.02,U
2018-10,-2.64,U
2018-11,-14.79,U
2018-12,-19.15,U
2019-01,, 
2019-02,, 
2019-03,-5.63,U
2019-04,-0.84,U
2019-05,9.74,U
2019-06,16.71,U
2019-07,18.19,U
2019-08,12.13,U
2019-09,6.31,U
2019-10,-3.22,U
2019-11,-16.71,U
2019-12,-26.01,U
2020-01,-29.62,U
2020-02,-25.24,U
2020-03,-13.8,U
2020-04,-1.46,U
2020-05,9.42,U
2020-06,15.38,U
2020-07,14.72,U
2020-08,13.81,U
2020-09,6.18,U
2020-10,-5.58,U
2020-11,, 
2020-12,, 
