Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,, 
1990-07,, 
1990-08,, 
1990-09,, 
1990-10,-3.09,U
1990-11,-13.33,U
1990-12,-16.11,U
1991-01,-16.65,U
1991-02,-14.77,U
1991-03,-7.51,U
1991-04,2.09,U
1991-05,8.16,U
1991-06,14.08,U
1991-07,14.44,U
1991-08,12.31,U
1991-09,9.4,U
1991-10,-0.54,U
1991-11,-12.8,U
1991-12,-18.42,U
1992-01,-16.25,U
1992-02,-17.48,U
1992-03,-8.92,U
1992-04,-0.46,U
1992-05,,U
1992-06,13.42,U
1992-07,15.19,U
1992-08,12.66,U
1992-09,1.56,U
1992-10,-4.33,U
1992-11,-8.26,U
1992-12,-15.44,U
1993-01,-16.29,U
1993-02,-11.06,U
1993-03,-3.19,U
1993-04,5.2,U
1993-05,10.13,U
1993-06,14.14,U
1993-07,17.4,U
1993-08,13.17,U
1993-09,6.98,U
1993-10,0.51,U
1993-11,-8.66,U
1993-12,-11.55,U
1994-01,-15.1,U
1994-02,-13.37,U
1994-03,-11.44,U
1994-04,1.24,U
1994-05,8.99,U
1994-06,13.9,U
1994-07,15.05,U
1994-08,13.05,U
1994-09,7.58,U
1994-10,-4.26,U
1994-11,-11.49,U
1994-12,-18.88,U
1995-01,-16.73,U
1995-02,-12.83,U
1995-03,-12.13,U
1995-04,3.96,U
1995-05,10.02,U
1995-06,13.07,U
1995-07,15.0,U
1995-08,12.3,U
1995-09,10.32,U
1995-10,-1.51,U
1995-11,-13.13,U
1995-12,-17.21,U
1996-01,-19.77,U
1996-02,-15.34,U
1996-03,-2.91,U
1996-04,-0.32,U
1996-05,8.99,U
1996-06,12.95,U
1996-07,14.69,U
1996-08,11.49,U
1996-09,5.05,U
1996-10,-6.21,U
1996-11,-13.25,U
1996-12,-23.34,U
1997-01,-19.74,U
1997-02,-6.98,U
1997-03,-9.76,U
1997-04,2.23,U
1997-05,9.22,U
1997-06,14.98,U
1997-07,16.54,U
1997-08,13.52,U
1997-09,9.71,U
1997-10,-6.47,U
1997-11,-7.51,U
1997-12,-19.98,U
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,13.11,U
1998-07,15.31,U
1998-08,10.76,U
1998-09,7.96,U
1998-10,-0.85,U
1998-11,-11.69,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,13.87,U
1999-07,14.78,U
1999-08,13.25,U
1999-09,8.47,U
1999-10,-4.26,U
1999-11,-15.45,U
1999-12,-25.19,U
2000-01,-18.48,U
2000-02,-5.67,U
2000-03,-5.62,U
2000-04,1.5,U
2000-05,6.55,U
2000-06,13.45,U
2000-07,13.98,U
2000-08,11.31,U
2000-09,6.19,U
2000-10,-2.35,U
2000-11,-6.52,U
2000-12,-9.22,U
2001-01,-9.42,U
2001-02,-7.16,U
2001-03,-7.55,U
2001-04,1.1,U
2001-05,4.81,U
2001-06,15.22,U
2001-07,13.8,U
2001-08,13.64,U
2001-09,9.0,U
2001-10,-4.77,U
2001-11,-16.35,U
2001-12,-21.26,U
2002-01,-12.69,U
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,14.43,U
2002-07,15.68,U
2002-08,12.67,U
2002-09,8.37,U
2002-10,1.54,U
2002-11,-4.41,U
2002-12,-11.23,U
2003-01,-15.39,U
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,13.99,U
2003-07,15.85,U
2003-08,13.84,U
2003-09,6.48,U
2003-10,1.09,U
2003-11,, 
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,11.18,U
2004-06,15.71,U
2004-07,17.61,U
2004-08,16.27,U
2004-09,5.92,U
2004-10,1.57,U
2004-11,-6.62,U
2004-12,-14.79,U
2005-01,-16.04,U
2005-02,-12.37,U
2005-03,-5.04,U
2005-04,-0.16,U
2005-05,, 
2005-06,, 
2005-07,16.89,U
2005-08,14.21,U
2005-09,8.76,U
2005-10,-0.94,U
2005-11,-18.68,U
2005-12,-12.18,U
2006-01,,U
2006-02,-8.09,U
2006-03,-9.91,U
2006-04,-0.74,U
2006-05,9.51,U
2006-06,13.38,U
2006-07,15.45,U
2006-08,11.72,U
2006-09,9.43,U
2006-10,2.3,U
2006-11,-14.24,U
2006-12,-17.74,U
2007-01,-17.1,U
2007-02,-13.03,U
2007-03,-15.53,U
2007-04,4.76,U
2007-05,9.04,U
2007-06,13.04,U
2007-07,15.3,U
2007-08,14.41,U
2007-09,9.64,U
2007-10,-1.84,U
2007-11,-6.64,U
2007-12,-14.39,U
2008-01,-19.06,U
2008-02,-16.42,U
2008-03,-6.75,U
2008-04,-1.98,U
2008-05,8.3,U
2008-06,12.53,U
2008-07,13.77,U
2008-08,12.55,U
2008-09,8.03,U
2008-10,-7.39,U
2008-11,-14.04,U
2008-12,-14.9,U
2009-01,-19.79,U
2009-02,-12.15,U
2009-03,-10.75,U
2009-04,0.77,U
2009-05,8.9,U
2009-06,12.69,U
2009-07,16.69,U
2009-08,12.64,U
2009-09,7.84,U
2009-10,1.74,U
2009-11,-14.33,U
2009-12,-14.09,U
2010-01,-17.91,U
2010-02,-11.01,U
2010-03,-11.36,U
2010-04,0.69,U
2010-05,9.46,U
2010-06,13.03,U
2010-07,13.55,U
2010-08,12.78,U
2010-09,7.97,U
2010-10,-6.75,U
2010-11,-9.36,U
2010-12,-19.15,U
2011-01,-15.1,U
2011-02,-11.41,U
2011-03,-5.94,U
2011-04,1.59,U
2011-05,9.07,U
2011-06,12.17,U
2011-07,, 
2011-08,, 
2011-09,, 
2011-10,, 
2011-11,, 
2011-12,, 
2012-01,, 
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,13.9,U
2012-07,13.05,U
2012-08,12.55,U
2012-09,6.62,U
2012-10,-2.23,U
2012-11,-15.39,U
2012-12,-19.48,U
2013-01,-13.21,U
2013-02,-14.34,U
2013-03,-7.91,U
2013-04,-3.96,U
2013-05,6.73,U
2013-06,16.17,U
2013-07,16.12,U
2013-08,13.68,U
2013-09,6.6,U
2013-10,4.09,U
2013-11,-9.93,U
2013-12,-16.13,U
2014-01,-6.07,U
2014-02,-12.94,U
2014-03,-8.62,U
2014-04,2.56,U
2014-05,9.58,U
2014-06,12.42,U
2014-07,14.64,U
2014-08,13.52,U
2014-09,8.17,U
2014-10,-2.99,U
2014-11,-6.21,U
2014-12,-10.07,U
2015-01,-16.28,U
2015-02,-9.85,U
2015-03,-5.17,U
2015-04,3.01,U
2015-05,10.18,U
2015-06,15.29,U
2015-07,15.4,U
2015-08,12.64,U
2015-09,6.57,U
2015-10,1.93,U
2015-11,-6.05,U
2015-12,-13.6,U
2016-01,-9.53,U
2016-02,-6.68,U
2016-03,-3.92,U
2016-04,5.95,U
2016-05,10.52,U
2016-06,14.6,U
2016-07,15.95,U
2016-08,15.08,U
2016-09,8.46,U
2016-10,0.49,U
2016-11,-13.87,U
2016-12,-15.16,U
2017-01,-18.7,U
2017-02,-14.5,U
2017-03,-11.02,U
2017-04,4.53,U
2017-05,9.06,U
2017-06,14.14,U
2017-07,16.66,U
2017-08,12.36,U
2017-09,7.76,U
2017-10,1.4,U
2017-11,-9.39,U
2017-12,-5.74,U
2018-01,-15.9,U
2018-02,-10.8,U
2018-03,-4.31,U
2018-04,2.31,U
2018-05,, 
2018-06,, 
2018-07,, 
2018-08,, 
2018-09,, 
2018-10,, 
2018-11,, 
2018-12,, 
2020-01,, 
2020-02,, 
2020-03,, 
2020-04,, 
2020-05,, 
2020-06,,U
2020-07,,U
2020-08,,U
2020-09,, 
2020-10,, 
2020-11,, 
2020-12,, 
