Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,12.85,U
1990-07,14.18,U
1990-08,14.08,U
1990-09,9.19,U
1990-10,1.39,U
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,8.4,U
1991-06,12.56,U
1991-07,13.69,U
1991-08,12.8,U
1991-09,10.38,U
1991-10,, 
1991-11,-3.19,U
1991-12,-6.31,U
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,12.45,U
1992-07,14.35,U
1992-08,12.74,U
1992-09,4.84,U
1992-10,0.3,U
1992-11,-2.72,U
1992-12,-9.55,U
1993-01,-8.54,U
1993-02,-4.01,U
1993-03,, 
1993-04,5.51,U
1993-05,10.21,U
1993-06,12.56,U
1993-07,15.5,U
1993-08,14.15,U
1993-09,8.61,U
1993-10,3.76,U
1993-11,-3.4,U
1993-12,-3.95,U
1994-01,-4.65,U
1994-02,-7.3,U
1994-03,-3.3,U
1994-04,3.91,U
1994-05,8.43,U
1994-06,12.81,U
1994-07,14.14,U
1994-08,14.35,U
1994-09,9.19,U
1994-10,1.13,U
1994-11,-9.03,U
1994-12,-8.56,U
1995-01,-7.75,U
1995-02,-5.32,U
1995-03,-5.99,U
1995-04,4.97,U
1995-05,8.8,U
1995-06,12.13,U
1995-07,14.21,U
1995-08,13.84,U
1995-09,11.46,U
1995-10,3.9,U
1995-11,-5.2,U
1995-12,-6.31,U
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,9.76,U
1996-06,12.24,U
1996-07,14.42,U
1996-08,13.33,U
1996-09,, 
1996-10,, 
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,9.31,U
1997-06,13.4,U
1997-07,15.69,U
1997-08,14.73,U
1997-09,10.88,U
1997-10,-0.48,U
1997-11,-1.85,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,7.02,U
1998-06,11.77,U
1998-07,13.71,U
1998-08,11.68,U
1998-09,9.18,U
1998-10,2.89,U
1998-11,-3.92,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,7.35,U
1999-06,12.55,U
1999-07,14.42,U
1999-08,13.57,U
1999-09,, 
1999-10,1.57,U
1999-11,-5.48,U
1999-12,-9.95,U
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,4.02,U
2000-05,7.73,U
2000-06,12.57,U
2000-07,13.29,U
2000-08,12.95,U
2000-09,8.59,U
2000-10,2.01,U
2000-11,-1.03,U
2000-12,-2.78,U
2001-01,-2.51,U
2001-02,-3.7,U
2001-03,-0.86,U
2001-04,3.35,U
2001-05,6.55,U
2001-06,, 
2001-07,13.66,U
2001-08,14.27,U
2001-09,9.95,U
2001-10,-0.66,U
2001-11,-5.68,U
2001-12,-11.82,U
2002-01,-4.23,U
2002-02,-4.62,U
2002-03,-4.15,U
2002-04,0.64,U
2002-05,8.82,U
2002-06,11.65,U
2002-07,14.64,U
2002-08,13.45,U
2002-09,9.69,U
2002-10,5.39,U
2002-11,, 
2002-12,, 
2003-01,, 
2003-02,-0.22,U
2003-03,-2.8,U
2003-04,4.08,U
2003-05,8.94,U
2003-06,12.58,U
2003-07,15.7,U
2003-08,13.96,U
2003-09,9.15,U
2003-10,4.98,U
2003-11,-6.04,U
2003-12,-8.86,U
2004-01,-13.04,U
2004-02,-1.58,U
2004-03,-3.25,U
2004-04,3.64,U
2004-05,10.03,U
2004-06,13.83,U
2004-07,16.28,U
2004-08,16.37,U
2004-09,7.02,U
2004-10,3.55,U
2004-11,-2.35,U
2004-12,-5.97,U
2005-01,-7.08,U
2005-02,-5.38,U
2005-03,0.56,U
2005-04,4.73,U
2005-05,10.17,U
2005-06,13.5,U
2005-07,15.63,U
2005-08,14.48,U
2005-09,10.08,U
2005-10,3.04,U
2005-11,-8.33,U
2005-12,-2.93,U
2006-01,-11.58,U
2006-02,-5.02,U
2006-03,-3.42,U
2006-04,2.01,U
2006-05,8.95,U
2006-06,11.76,U
2006-07,13.84,U
2006-08,12.01,U
2006-09,9.73,U
2006-10,3.53,U
2006-11,-10.47,U
2006-12,-5.96,U
2007-01,-9.15,U
2007-02,-6.89,U
2007-03,-9.18,U
2007-04,4.5,U
2007-05,8.19,U
2007-06,12.58,U
2007-07,13.72,U
2007-08,14.27,U
2007-09,9.66,U
2007-10,1.85,U
2007-11,-0.94,U
2007-12,-7.22,U
2008-01,-11.21,U
2008-02,-8.36,U
2008-03,-0.5,U
2008-04,1.07,U
2008-05,7.85,U
2008-06,10.48,U
2008-07,12.32,U
2008-08,12.47,U
2008-09,8.99,U
2008-10,-0.31,U
2008-11,-5.07,U
2008-12,-9.8,U
2009-01,-10.29,U
2009-02,-7.36,U
2009-03,-4.29,U
2009-04,2.79,U
2009-05,9.87,U
2009-06,12.21,U
2009-07,15.58,U
2009-08,13.58,U
2009-09,9.8,U
2009-10,5.67,U
2009-11,-5.74,U
2009-12,-6.2,U
2010-01,-5.8,U
2010-02,-1.66,U
2010-03,-1.75,U
2010-04,3.33,U
2010-05,9.5,U
2010-06,11.23,U
2010-07,12.48,U
2010-08,12.67,U
2010-09,9.44,U
2010-10,3.29,U
2010-11,-3.69,U
2010-12,-11.94,U
2011-01,-7.47,U
2011-02,-7.88,U
2011-03,-2.76,U
2011-04,3.07,U
2011-05,8.06,U
2011-06,10.77,U
2011-07,13.26,U
2011-08,12.05,U
2011-09,8.73,U
2011-10,2.79,U
2011-11,-9.95,U
2011-12,-6.28,U
2012-01,-16.89,U
2012-02,-2.97,U
2012-03,-5.12,U
2012-04,4.39,U
2012-05,7.33,U
2012-06,12.11,U
2012-07,13.05,U
2012-08,13.11,U
2012-09,8.92,U
2012-10,1.39,U
2012-11,-6.69,U
2012-12,-8.74,U
2013-01,-4.47,U
2013-02,-2.85,U
2013-03,-2.81,U
2013-04,-0.73,U
2013-05,7.28,U
2013-06,14.79,U
2013-07,16.13,U
2013-08,14.03,U
2013-09,9.48,U
2013-10,6.23,U
2013-11,-4.71,U
2013-12,-9.37,U
2014-01,-0.04,U
2014-02,-5.69,U
2014-03,-1.8,U
2014-04,4.28,U
2014-05,11.02,U
2014-06,11.78,U
2014-07,15.02,U
2014-08,14.5,U
2014-09,10.3,U
2014-10,1.88,U
2014-11,0.72,U
2014-12,-1.15,U
2015-01,-5.25,U
2015-02,-3.04,U
2015-03,-0.68,U
2015-04,4.46,U
2015-05,9.95,U
2015-06,14.05,U
2015-07,15.06,U
2015-08,14.62,U
2015-09,8.21,U
2015-10,5.67,U
2015-11,-3.62,U
2015-12,-4.63,U
2016-01,-0.94,U
2016-02,0.53,U
2016-03,1.96,U
2016-04,7.19,U
2016-05,11.04,U
2016-06,14.28,U
2016-07,16.41,U
2016-08,14.97,U
2016-09,10.19,U
2016-10,3.66,U
2016-11,-2.58,U
2016-12,-8.5,U
2017-01,-10.45,U
2017-02,-6.5,U
2017-03,-6.37,U
2017-04,5.42,U
2017-05,8.85,U
2017-06,12.01,U
2017-07,14.6,U
2017-08,13.02,U
2017-09,10.33,U
2017-10,3.82,U
2017-11,-5.63,U
2017-12,-2.73,U
2018-01,-5.96,U
2018-02,-6.47,U
2018-03,-1.18,U
2018-04,4.8,U
2018-05,8.31,U
2018-06,12.31,U
2018-07,15.33,U
2018-08,13.96,U
2018-09,11.7,U
2018-10,6.73,U
2018-11,-0.6,U
2018-12,-4.0,U
2019-01,-6.46,U
2019-02,-5.29,U
2019-03,3.01,U
2019-04,4.62,U
2019-05,9.59,U
2019-06,15.39,U
2019-07,17.83,U
2019-08,17.0,U
2019-09,10.96,U
2019-10,5.27,U
2019-11,1.26,U
2019-12,-4.46,U
2020-01,-15.8,U
2020-02,-6.13,U
2020-03,-3.98,U
2020-04,3.68,U
2020-05,10.62,U
2020-06,12.89,U
2020-07,16.28,U
2020-08,15.1,U
2020-09,10.6,U
2020-10,4.08,U
2020-11,-3.83,U
2020-12,-4.61,U
2021-01,-3.84,U
2021-02,-8.13,U
2021-03,-5.27,U
2021-04,3.37,U
2021-05,9.04,U
2021-06,12.95,U
2021-07,14.54,U
2021-08,13.7,U
2021-09,8.43,U
2021-10,3.48,U
2021-11,-8.41,U
2021-12,-9.0,U
