Date [YYYY-MM],Temperature [°C],QCFLAG
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,, 
2003-07,, 
2003-08,,U
2003-09,, 
2003-10,, 
2003-11,, 
2003-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,16.45,U
2005-07,15.35,U
2005-08,14.1,U
2005-09,7.37,U
2005-10,-3.11,U
2005-11,-20.06,U
2005-12,-10.64,U
2006-01,, 
2006-02,-5.69,U
2006-03,-12.12,U
2006-04,-1.22,U
2006-05,9.35,U
2006-06,13.64,U
2006-07,15.01,U
2006-08,11.25,U
2006-09,9.93,U
2006-10,0.9,U
2006-11,-18.97,U
2006-12,-14.29,U
2007-01,-14.97,U
2007-02,-16.06,U
2007-03,-17.94,U
2007-04,4.78,U
2007-05,9.38,U
2007-06,14.99,U
2007-07,16.61,U
2007-08,14.79,U
2007-09,7.53,U
2007-10,-5.5,U
2007-11,-6.79,U
2007-12,-15.34,U
2008-01,, 
2008-02,-16.59,U
2008-03,-7.22,U
2008-04,-0.66,U
2008-05,7.93,U
2008-06,13.34,U
2008-07,13.49,U
2008-08,10.72,U
2008-09,6.71,U
2008-10,-9.45,U
2008-11,-14.41,U
2008-12,-17.1,U
2009-01,-20.11,U
2009-02,-13.41,U
2009-03,-12.98,U
2009-04,1.28,U
2009-05,9.51,U
2009-06,13.9,U
2009-07,18.84,U
2009-08,11.01,U
2009-09,7.55,U
2009-10,-0.89,U
2009-11,-15.51,U
2009-12,-11.24,U
2010-01,, 
2010-02,, 
2010-03,-8.43,U
2010-04,3.27,U
2010-05,10.88,U
2010-06,13.49,U
2010-07,15.43,U
2010-08,14.0,U
2010-09,7.62,U
2010-10,-1.66,U
2010-11,-9.14,U
2010-12,-23.3,U
2011-01,-13.64,U
2011-02,-15.3,U
2011-03,-8.63,U
2011-04,0.68,U
2011-05,10.08,U
2011-06,13.65,U
2011-07,14.58,U
2011-08,11.76,U
2011-09,8.22,U
2011-10,-1.79,U
2011-11,-19.88,U
2011-12,-11.93,U
2012-01,-27.08,U
2012-02,-7.9,U
2012-03,-12.85,U
2012-04,3.67,U
2012-05,7.48,U
2012-06,14.68,U
2012-07,14.57,U
2012-08,12.89,U
2012-09,7.1,U
2012-10,-6.21,U
2012-11,-18.72,U
2012-12,-20.05,U
2013-01,-14.3,U
2013-02,-14.82,U
2013-03,-9.28,U
2013-04,-7.1,U
2013-05,5.97,U
2013-06,17.4,U
2013-07,16.11,U
2013-08,13.89,U
2013-09,4.69,U
2013-10,2.76,U
2013-11,-12.53,U
2013-12,-16.52,U
2014-01,, 
2014-02,, 
2014-03,-7.11,U
2014-04,1.74,U
2014-05,9.08,U
2014-06,11.8,U
2014-07,14.07,U
2014-08,13.52,U
2014-09,6.78,U
2014-10,-5.53,U
2014-11,-7.66,U
2014-12,-10.48,U
2015-01,-16.45,U
2015-02,-11.6,U
2015-03,-5.78,U
2015-04,2.72,U
2015-05,12.4,U
2015-06,14.49,U
2015-07,15.09,U
2015-08,10.86,U
2015-09,4.67,U
2015-10,-0.48,U
2015-11,-8.85,U
2015-12,-14.21,U
2016-01,-9.04,U
2016-02,-7.24,U
2016-03,-5.38,U
2016-04,4.96,U
2016-05,9.9,U
2016-06,14.05,U
2016-07,15.25,U
2016-08,14.77,U
2016-09,7.34,U
2016-10,-2.32,U
2016-11,-13.68,U
2016-12,-13.91,U
2017-01,-15.2,U
2017-02,-12.29,U
2017-03,-15.17,U
2017-04,2.97,U
2017-05,8.87,U
2017-06,15.23,U
2017-07,17.49,U
2017-08,13.4,U
2017-09,7.73,U
2017-10,-0.12,U
2017-11,-11.16,U
2017-12,-5.96,U
2018-01,-16.44,U
2018-02,-11.11,U
2018-03,-6.16,U
2018-04,0.06,U
2018-05,8.27,U
2018-06,13.52,U
2018-07,17.34,U
2018-08,11.93,U
2018-09,7.97,U
2018-10,2.15,U
2018-11,-9.7,U
2018-12,-13.81,U
2019-01,-15.62,U
2019-02,-9.17,U
2019-03,1.41,U
2019-04,1.92,U
2019-05,10.05,U
2019-06,16.03,U
2019-07,17.32,U
2019-08,11.64,U
2019-09,8.35,U
2019-10,-1.46,U
2019-11,-9.64,U
2019-12,-17.18,U
2020-01,, 
2020-02,, 
2020-03,-10.83,U
2020-04,0.34,U
2020-05,9.97,U
2020-06,, 
2020-07,, 
2020-08,13.52,U
2020-09,7.25,U
2020-10,-2.74,U
2020-11,-11.38,U
2020-12,-13.69,U
2021-01,-11.51,U
2021-02,-20.05,U
2021-03,-11.17,U
2021-04,-0.97,U
2021-05,8.4,U
2021-06,14.95,U
2021-07,16.22,U
2021-08,11.68,U
2021-09,4.96,U
2021-10,-2.13,U
2021-11,, 
2021-12,-12.88,U
