Date [YYYY-MM],Temperature [°C],QCFLAG
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,, 
1994-06,, 
1994-07,, 
1994-08,14.28,U
1994-09,3.53,U
1994-10,-4.99,U
1994-11,-21.77,U
1994-12,-23.34,U
1995-01,-24.34,U
1995-02,-20.06,U
1995-03,-16.39,U
1995-04,1.8,U
1995-05,11.2,U
1995-06,16.39,U
1995-07,16.93,U
1995-08,12.9,U
1995-09,8.51,U
1995-10,-5.72,U
1995-11,-23.12,U
1995-12,-24.67,U
1996-01,-32.02,U
1996-02,-21.45,U
1996-03,-11.8,U
1996-04,-5.01,U
1996-05,8.24,U
1996-06,15.66,U
1996-07,16.46,U
1996-08,9.99,U
1996-09,3.24,U
1996-10,-14.0,U
1996-11,-20.94,U
1996-12,-25.07,U
1997-01,-29.0,U
1997-02,-14.58,U
1997-03,-16.09,U
1997-04,-1.94,U
1997-05,8.44,U
1997-06,16.87,U
1997-07,17.47,U
1997-08,, 
1997-09,, 
1997-10,, 
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,15.58,U
1998-07,18.03,U
1998-08,11.5,U
1998-09,6.03,U
1998-10,-5.32,U
1998-11,-17.38,U
1998-12,-22.25,U
1999-01,-28.28,U
1999-02,-25.88,U
1999-03,-14.18,U
1999-04,-2.88,U
1999-05,8.02,U
1999-06,16.9,U
1999-07,16.68,U
1999-08,14.2,U
1999-09,6.35,U
1999-10,-8.01,U
1999-11,-20.04,U
1999-12,-24.55,U
2000-01,-26.33,U
2000-02,-16.14,U
2000-03,-11.18,U
2000-04,-3.39,U
2000-05,, 
2000-06,17.12,U
2000-07,15.54,U
2000-08,10.12,U
2000-09,3.44,U
2000-10,-6.89,U
2000-11,-13.82,U
2000-12,-18.55,U
2001-01,-15.67,U
2001-02,-17.13,U
2001-03,-15.56,U
2001-04,-3.58,U
2001-05,4.93,U
2001-06,16.01,U
2001-07,15.61,U
2001-08,12.67,U
2001-09,6.49,U
2001-10,-5.89,U
2001-11,-17.28,U
2001-12,-20.54,U
2002-01,-19.66,U
2002-02,-20.16,U
2002-03,-12.75,U
2002-04,-6.31,U
2002-05,7.49,U
2002-06,14.53,U
2002-07,, 
2002-08,, 
2002-09,, 
2002-10,, 
2002-11,, 
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,15.76,U
2003-07,15.69,U
2003-08,12.71,U
2003-09,3.44,U
2003-10,-1.61,U
2003-11,-18.86,U
2003-12,-21.45,U
2004-01,-25.96,U
2004-02,-20.66,U
2004-03,-17.27,U
2004-04,-1.19,U
2004-05,9.37,U
2004-06,19.75,U
2004-07,18.45,U
2004-08,14.94,U
2004-09,1.83,U
2004-10,-5.0,U
2004-11,-18.03,U
2004-12,-22.61,U
2005-01,-25.68,U
2005-02,-21.46,U
2005-03,-10.99,U
2005-04,-1.25,U
2005-05,12.06,U
2005-06,17.85,U
2005-07,, 
2005-08,, 
