Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,15.99,U
1988-07,18.4,U
1988-08,13.51,U
1988-09,, 
1988-10,, 
1988-11,, 
1988-12,, 
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,14.5,U
1989-07,16.68,U
1989-08,14.51,U
1989-09,7.76,U
1989-10,-5.02,U
1989-11,-20.09,U
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,15.55,U
1990-07,18.67,U
1990-08,, 
1990-09,, 
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,17.08,U
1991-07,14.89,U
1991-08,11.57,U
1991-09,9.32,U
1991-10,-3.1,U
1991-11,-15.43,U
1991-12,-16.67,U
1992-01,-16.85,U
1992-02,-18.53,U
1992-03,-7.42,U
1992-04,-2.13,U
1992-05,4.8,U
1992-06,15.65,U
1992-07,17.24,U
1992-08,13.23,U
1992-09,-0.06,U
1992-10,-6.87,U
1992-11,-11.28,U
1992-12,-18.78,U
1993-01,-17.88,U
1993-02,-13.33,U
1993-03,, 
1993-04,4.19,U
1993-05,10.9,U
1993-06,16.12,U
1993-07,18.92,U
1993-08,13.55,U
1993-09,5.57,U
1993-10,-2.01,U
1993-11,-12.23,U
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,10.87,U
1994-06,14.25,U
1994-07,17.37,U
1994-08,14.01,U
1994-09,6.51,U
1994-10,-6.04,U
1994-11,-16.39,U
1994-12,-19.28,U
1995-01,, 
1995-02,-13.14,U
1995-03,-12.96,U
1995-04,4.23,U
1995-05,11.19,U
1995-06,14.6,U
1995-07,16.31,U
1995-08,13.17,U
1995-09,10.56,U
1995-10,-4.05,U
1995-11,-15.13,U
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,14.8,U
1996-07,16.24,U
1996-08,10.71,U
1996-09,4.74,U
1996-10,-9.16,U
1996-11,-15.11,U
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,16.64,U
1997-07,17.49,U
1997-08,13.65,U
1997-09,9.7,U
1997-10,-7.87,U
1997-11,-8.87,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,14.23,U
1998-07,15.71,U
1998-08,10.69,U
1998-09,, 
1998-10,, 
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,8.12,U
1999-06,16.08,U
1999-07,15.93,U
1999-08,14.44,U
1999-09,7.78,U
1999-10,-6.25,U
1999-11,-16.52,U
1999-12,-21.7,U
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,16.61,U
2000-07,14.69,U
2000-08,10.07,U
2000-09,5.16,U
2000-10,-4.18,U
2000-11,-9.77,U
2000-12,-13.1,U
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,1.13,U
2001-05,5.91,U
2001-06,15.99,U
2001-07,14.37,U
2001-08,13.25,U
2001-09,, 
2001-10,, 
2001-11,, 
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,14.5,U
2002-07,16.43,U
2002-08,12.23,U
2002-09,8.01,U
2002-10,-0.32,U
2002-11,-6.43,U
2002-12,-12.65,U
2003-01,-15.55,U
2003-02,-9.04,U
2003-03,-10.36,U
2003-04,1.26,U
2003-05,7.79,U
2003-06,15.38,U
2003-07,15.48,U
2003-08,13.36,U
2003-09,5.38,U
2003-10,0.23,U
2003-11,-11.24,U
2003-12,-18.86,U
2004-01,-20.89,U
2004-02,-14.04,U
2004-03,-12.65,U
2004-04,3.22,U
2004-05,11.37,U
2004-06,18.51,U
2004-07,18.32,U
2004-08,17.16,U
2004-09,3.69,U
2004-10,-1.2,U
2004-11,-11.53,U
2004-12,-16.92,U
2005-01,-16.42,U
2005-02,-14.36,U
2005-03,-5.94,U
2005-04,1.52,U
2005-05,, 
2005-06,16.49,U
2005-07,16.83,U
2005-08,14.49,U
2005-09,7.31,U
2005-10,-3.16,U
2005-11,-19.31,U
2005-12,-12.7,U
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,10.69,U
2006-06,14.11,U
2006-07,15.4,U
2006-08,11.44,U
2006-09,9.48,U
2006-10,-0.35,U
2006-11,-18.57,U
2006-12,-15.9,U
2007-01,, 
2007-02,-15.68,U
2007-03,-16.95,U
2007-04,4.61,U
2007-05,9.97,U
2007-06,15.43,U
2007-07,17.23,U
2007-08,15.62,U
2007-09,8.2,U
2007-10,-5.33,U
2007-11,-9.65,U
2007-12,-16.56,U
2008-01,, 
2008-02,-17.39,U
2008-03,-9.32,U
2008-04,-0.99,U
2008-05,8.95,U
2008-06,13.89,U
2008-07,14.37,U
2008-08,11.43,U
2008-09,6.94,U
2008-10,-9.26,U
2008-11,-14.57,U
2008-12,-18.19,U
2009-01,-20.38,U
2009-02,-15.96,U
2009-03,-13.96,U
2009-04,0.96,U
2009-05,9.69,U
2009-06,14.49,U
2009-07,18.78,U
2009-08,11.45,U
2009-09,7.91,U
2009-10,-1.1,U
2009-11,, 
2009-12,, 
2010-01,, 
2010-02,, 
2010-03,, 
2010-04,, 
2010-05,, 
2010-06,14.93,U
2010-07,15.56,U
2010-08,14.75,U
2010-09,8.79,U
2010-10,-2.57,U
2010-11,-9.14,U
2010-12,-22.9,U
2011-01,-16.54,U
2011-02,-16.72,U
2011-03,-8.57,U
2011-04,-0.15,U
2011-05,10.34,U
2011-06,14.56,U
2011-07,14.88,U
2011-08,12.34,U
2011-09,8.18,U
2011-10,-2.0,U
2011-11,-19.07,U
2011-12,-13.85,U
2012-01,-29.29,U
2012-02,-10.77,U
2012-03,-13.71,U
2012-04,3.23,U
2012-05,8.4,U
2012-06,15.88,U
2012-07,14.55,U
2012-08,12.7,U
2012-09,6.78,U
2012-10,-4.92,U
2012-11,-17.41,U
2012-12,-21.72,U
2013-01,-16.79,U
2013-02,-16.7,U
2013-03,-10.65,U
2013-04,-4.85,U
2013-05,6.94,U
2013-06,18.56,U
2013-07,17.03,U
2013-08,14.36,U
2013-09,4.77,U
2013-10,1.46,U
2013-11,-12.48,U
2013-12,-18.01,U
2014-01,-11.59,U
2014-02,-15.98,U
2014-03,-7.45,U
2014-04,1.65,U
2014-05,10.19,U
2014-06,13.26,U
2014-07,15.21,U
2014-08,13.98,U
2014-09,7.43,U
2014-10,-4.23,U
2014-11,-10.44,U
2014-12,-12.66,U
2015-01,-17.47,U
2015-02,-12.36,U
2015-03,-6.68,U
2015-04,3.11,U
2015-05,13.33,U
2015-06,15.97,U
2015-07,16.11,U
2015-08,11.74,U
2015-09,, 
2015-10,, 
2015-11,, 
2015-12,, 
2019-01,, 
2019-02,, 
2019-03,, 
2019-04,, 
2019-05,11.01,U
2019-06,,U
2019-07,19.02,U
2019-08,13.27,U
2019-09,8.04,U
2019-10,-1.84,U
2019-11,-11.49,U
2019-12,-18.72,U
2020-01,-24.21,U
2020-02,-18.91,U
2020-03,-10.79,U
2020-04,1.01,U
2020-05,12.32,U
2020-06,15.42,U
2020-07,15.06,U
2020-08,14.77,U
2020-09,7.34,U
2020-10,-2.4,U
2020-11,-14.1,U
2020-12,-13.0,U
2021-01,,U
2021-02,,U
2021-03,,U
2021-04,0.0,U
2021-05,8.45,U
2021-06,16.19,U
2021-07,17.15,U
2021-08,11.74,U
2021-09,,U
2021-10,, 
2021-11,, 
2021-12,, 
