Date [YYYY-MM],Temperature [°C],QCFLAG
1882-01,, 
1882-02,, 
1882-03,, 
1882-04,, 
1882-05,, 
1882-06,, 
1882-07,, 
1882-08,, 
1882-09,, 
1882-10,, 
1882-11,,""""
1882-12,,""""
1883-01,,""""
1883-02,,""""
1883-03,,""""
1883-04,,""""
1883-05,,""""
1883-06,,""""
1883-07,,""""
1883-08,,""""
1883-09,,""""
1883-10,,""""
1883-11,,""""
1883-12,,""""
1884-01,,""""
1884-02,,""""
1884-03,,""""
1884-04,,""""
1884-05,,""""
1884-06,, 
1884-07,,""""
1884-08,,""""
1884-09,,""""
1884-10,,""""
1884-11,,""""
1884-12,,""""
1885-01,,""""
1885-02,,""""
1885-03,,""""
1885-04,,""""
1885-05,,""""
1885-06,,""""
1885-07,,""""
1885-08,,""""
1885-09,,""""
1885-10,,""""
1885-11,,""""
1885-12,,""""
1886-01,,""""
1886-02,,""""
1886-03,,""""
1886-04,,""""
1886-05,,""""
1886-06,, 
1886-07,, 
1886-08,, 
1886-09,, 
1886-10,, 
1886-11,, 
1886-12,, 
1899-01,, 
1899-02,, 
1899-03,, 
1899-04,, 
1899-05,,6
1899-06,,6
1899-07,,6
1899-08,,6
1899-09,, 
1899-10,,6
1899-11,,6
1899-12,,6
1900-01,,6
1900-02,,6
1900-03,,6
1900-04,,6
1900-05,,6
1900-06,,6
1900-07,,6
1900-08,,6
1900-09,,6
1900-10,,6
1900-11,,6
1900-12,, 
1901-01,,6
1901-02,,6
1901-03,,6
1901-04,,6
1901-05,,6
1901-06,,6
1901-07,,6
1901-08,,6
1901-09,,6
1901-10,,6
1901-11,,6
1901-12,,6
1902-01,,6
1902-02,,6
1902-03,,6
1902-04,,6
1902-05,,6
1902-06,,6
1902-07,,6
1902-08,,6
1902-09,,6
1902-10,,6
1902-11,,6
1902-12,,6
1903-01,,6
1903-02,,6
1903-03,,6
1903-04,,6
1903-05,,6
1903-06,,6
1903-07,,6
1903-08,,6
1903-09,,6
1903-10,,6
1903-11,,6
1903-12,,6
1904-01,, 
1904-02,, 
1904-03,, 
1904-04,, 
1904-05,,6
1904-06,,6
1904-07,,6
1904-08,,6
1904-09,,6
1904-10,,6
1904-11,,6
1904-12,,6
1905-01,,6
1905-02,,6
1905-03,,6
1905-04,,6
1905-05,,6
1905-06,,6
1905-07,,6
1905-08,,6
1905-09,,6
1905-10,,6
1905-11,,6
1905-12,,6
1906-01,,6
1906-02,,6
1906-03,,6
1906-04,,6
1906-05,,6
1906-06,,6
1906-07,,6
1906-08,,6
1906-09,,6
1906-10,,6
1906-11,,6
1906-12,,6
1907-01,,6
1907-02,,6
1907-03,,6
1907-04,,6
1907-05,,6
1907-06,,6
1907-07,,6
1907-08,, 
1907-09,,6
1907-10,,6
1907-11,,6
1907-12,,6
1908-01,,6
1908-02,,6
1908-03,,6
1908-04,, 
1908-05,, 
1908-06,, 
1908-07,, 
1908-08,, 
1908-09,, 
1908-10,, 
1908-11,, 
1908-12,, 
1943-01,, 
1943-02,, 
1943-03,, 
1943-04,, 
1943-05,, 
1943-06,, 
1943-07,, 
1943-08,9.8,6
1943-09,7.08,6
1943-10,2.5,6
1943-11,-2.05,6
1943-12,-5.02,6
1944-01,-9.37,6
1944-02,-3.1,6
1944-03,-6.89,6
1944-04,-1.34,6
1944-05,6.0,6
1944-06,9.6,6
1944-07,11.39,6
1944-08,11.49,6
1944-09,8.16,6
1944-10,2.76,6
1944-11,-5.66,6
1944-12,-7.93,6
1945-01,-3.95,6
1945-02,-6.39,6
1945-03,-5.58,6
1945-04,-1.19,6
1945-05,4.93,6
1945-06,10.45,6
1945-07,13.17,6
1945-08,11.94,6
1945-09,7.79,6
1945-10,1.63,6
1945-11,-10.38,6
1945-12,-9.9,6
1946-01,-8.9,6
1946-02,-7.47,6
1946-03,-10.57,6
1946-04,-0.43,6
1946-05,5.81,6
1946-06,9.21,6
1946-07,12.13,6
1946-08,10.87,6
1946-09,7.7,6
1946-10,4.49,6
1946-11,-7.43,6
1946-12,-13.69,6
1947-01,-20.08,6
1947-02,-6.19,6
1947-03,-0.69,6
1947-04,1.5,6
1947-05,6.87,6
1947-06,9.2,6
1947-07,12.21,6
1947-08,11.48,6
1947-09,7.52,6
1947-10,2.63,6
1947-11,-2.05,6
1947-12,-3.49,6
1948-01,-6.69,6
1948-02,-10.71,6
1948-03,-6.76,6
1948-04,-1.83,6
1948-05,6.31,6
1948-06,9.93,6
1948-07,11.13,6
1948-08,10.2,6
1948-09,6.87,6
1948-10,2.63,6
1948-11,-9.26,6
1948-12,-15.22,6
1949-01,-11.07,6
1949-02,-14.98,6
1949-03,-1.93,6
1949-04,-1.76,6
1949-05,5.02,6
1949-06,8.9,6
1949-07,11.31,6
1949-08,11.53,6
1949-09,9.17,0
1949-10,2.6,0
1949-11,-1.85,0
1949-12,-15.83,0
1950-01,-15.54,0
1950-02,-12.92,0
1950-03,-2.58,0
1950-04,1.41,0
1950-05,6.01,0
1950-06,9.08,0
1950-07,11.47,0
1950-08,12.66,0
1950-09,8.71,0
1950-10,1.14,0
1950-11,-10.26,0
1950-12,-11.58,0
1951-01,-14.66,0
1951-02,-10.83,0
1951-03,-11.77,0
1951-04,1.95,0
1951-05,6.29,0
1951-06,9.64,0
1951-07,12.14,0
1951-08,12.62,0
1951-09,8.7,0
1951-10,0.66,0
1951-11,-3.67,0
1951-12,-12.86,0
1952-01,-16.53,0
1952-02,-6.83,0
1952-03,-5.73,0
1952-04,-0.39,0
1952-05,4.46,0
1952-06,8.9,0
1952-07,12.01,0
1952-08,11.93,0
1952-09,8.1,0
1952-10,3.79,0
1952-11,0.37,0
1952-12,-6.5,0
1953-01,-11.91,0
1953-02,-6.9,0
1953-03,-6.25,0
1953-04,2.82,0
1953-05,6.51,0
1953-06,11.61,0
1953-07,13.13,0
1953-08,12.21,0
1953-09,8.12,0
1953-10,0.93,0
1953-11,-5.52,0
1953-12,-7.65,0
1954-01,-13.14,0
1954-02,-15.8,0
1954-03,-6.72,0
1954-04,-0.99,0
1954-05,6.86,0
1954-06,9.93,0
1954-07,11.46,0
1954-08,11.55,0
1954-09,8.56,0
1954-10,4.08,0
1954-11,-1.48,0
1954-12,-15.75,0
1955-01,-6.18,0
1955-02,-9.46,0
1955-03,-5.35,0
1955-04,-1.82,0
1955-05,5.48,0
1955-06,8.51,0
1955-07,11.53,0
1955-08,10.71,0
1955-09,7.69,0
1955-10,0.44,0
1955-11,-12.22,0
1955-12,-14.4,0
1956-01,-16.38,0
1956-02,-13.2,0
1956-03,-8.29,0
1956-04,0.6,0
1956-05,5.64,0
1956-06,9.07,0
1956-07,11.53,0
1956-08,11.88,0
1956-09,6.85,0
1956-10,-1.87,0
1956-11,-8.79,0
1956-12,-15.6,0
1957-01,-11.12,0
1957-02,-10.97,0
1957-03,-1.3,0
1957-04,1.97,0
1957-05,7.12,0
1957-06,10.93,0
1957-07,12.52,0
1957-08,12.91,0
1957-09,9.11,0
1957-10,3.71,0
1957-11,1.31,0
1957-12,-12.67,0
1958-01,-7.02,0
1958-02,-5.49,0
1958-03,-2.57,0
1958-04,3.48,0
1958-05,7.33,0
1958-06,10.82,0
1958-07,12.13,0
1958-08,12.15,0
1958-09,7.12,0
1958-10,-0.97,0
1958-11,-6.79,0
1958-12,-8.72,0
1959-01,-12.14,0
