Date [YYYY-MM],Temperature [°C],QCFLAG
1946-01,3.4,""""
1946-02,3.9,""""
1946-03,3.9,""""
1946-04,3.7,""""
1946-05,, 
1946-06,, 
1946-07,, 
1946-08,9.3,""""
1946-09,8.2,""""
1946-10,7.7,""""
1946-11,5.1,""""
1946-12,4.4,""""
1947-01,3.6,""""
1947-02,3.7,""""
1947-03,3.1,""""
1947-04,,""""
1947-05,6.7,""""
1947-06,8.6,""""
1947-07,, 
1947-08,, 
1947-09,, 
1947-10,7.0,""""
1947-11,4.4,""""
1947-12,4.2,""""
1948-01,2.8,""""
1948-02,3.0,""""
1948-03,2.6,""""
1948-04,3.1,""""
1948-05,4.5,""""
1948-06,7.8,""""
1948-07,8.9,""""
1948-08,10.2,""""
1948-09,8.4,""""
1948-10,6.1,""""
1948-11,5.1,""""
1948-12,3.1,""""
1949-01,0.8,""""
1949-02,0.6,""""
1949-03,2.7,""""
1949-04,1.4,""""
1949-05,4.6,""""
1949-06,7.6,""""
1949-07,8.3,""""
1949-08,9.1,""""
1949-09,7.7,""""
1949-10,6.4,""""
1949-11,4.8,""""
1949-12,2.4,""""
1950-01,3.3,""""
1950-02,2.6,""""
1950-03,3.6,""""
1950-04,3.4,""""
1950-05,5.9,""""
1950-06,7.6,""""
1950-07,9.6,""""
1950-08,10.2,""""
1950-09,8.1,""""
1950-10,5.8,""""
1950-11,4.0,""""
1950-12,3.3,""""
1951-01,, 
1951-02,, 
1951-03,, 
1951-04,, 
1951-05,, 
1951-06,, 
1951-07,, 
1951-08,9.6,""""
1951-09,8.4,""""
1951-10,5.7,""""
1951-11,5.3,""""
1951-12,2.2,""""
1952-01,0.7,""""
1952-02,2.0,""""
1952-03,,""""
1952-04,, 
1952-05,5.6,""""
1952-06,6.9,""""
1952-07,8.4,""""
1952-08,9.9,""""
1952-09,9.3,""""
1952-10,7.0,""""
1952-11,6.0,""""
1952-12,4.5,""""
1953-01,2.5,""""
1953-02,3.4,""""
1953-03,2.2,""""
1953-04,4.4,""""
1953-05,6.0,""""
1953-06,8.2,""""
1953-07,9.8,""""
1953-08,10.5,""""
1953-09,8.8,""""
1953-10,5.7,""""
1953-11,4.1,""""
1953-12,2.1,""""
1954-01,2.8,""""
1954-02,1.8,""""
1954-03,3.2,""""
1954-04,3.4,""""
1954-05,5.9,""""
1954-06,8.2,""""
1954-07,8.5,""""
1954-08,9.3,""""
1954-09,7.4,""""
1954-10,5.4,""""
1954-11,3.3,""""
1954-12,1.7,""""
1955-01,2.3,""""
1955-02,3.2,""""
1955-03,3.6,""""
1955-04,5.1,""""
1955-05,6.1,""""
1955-06,8.3,""""
1955-07,8.3,""""
1955-08,8.5,""""
1955-09,7.6,""""
1955-10,6.1,""""
1955-11,5.3,""""
1955-12,3.5,""""
1956-01,0.5,""""
1956-02,3.6,""""
1956-03,4.5,""""
1956-04,4.7,""""
1956-05,5.3,""""
1956-06,6.7,""""
1956-07,8.7,""""
1956-08,9.7,""""
1956-09,8.9,""""
1956-10,5.7,""""
1956-11,4.6,""""
1956-12,2.8,""""
1957-01,1.8,""""
1957-02,2.5,""""
1957-03,3.5,""""
1957-04,4.9,""""
1957-05,5.9,""""
1957-06,7.9,""""
1957-07,10.4,""""
1957-08,10.8,""""
1957-09,9.3,""""
1957-10,5.8,""""
1957-11,4.3,""""
1957-12,1.9,""""
1958-01,1.2,""""
1958-02,2.9,""""
1958-03,3.4,""""
1958-04,4.8,""""
1958-05,5.2,""""
1958-06,8.4,""""
1958-07,10.7,""""
1958-08,10.2,""""
1958-09,10.3,""""
1958-10,7.3,""""
1958-11,5.3,""""
1958-12,3.2,""""
1959-01,2.6,""""
1959-02,2.6,""""
1959-03,2.8,""""
1959-04,3.5,""""
1959-05,6.2,""""
1959-06,7.4,""""
1959-07,8.9,""""
1959-08,9.3,""""
1959-09,7.9,""""
1959-10,6.5,""""
1959-11,3.7,""""
1959-12,3.1,""""
1960-01,3.3,""""
1960-02,2.3,""""
1960-03,3.8,""""
1960-04,4.5,""""
1960-05,6.2,""""
1960-06,7.7,""""
1960-07,9.5,""""
1960-08,11.0,""""
1960-09,9.0,""""
1960-10,7.8,""""
1960-11,6.6,""""
1960-12,3.4,""""
1961-01,3.6,{
1961-02,2.6,{
1961-03,1.8,{
1961-04,5.0,{
1961-05,7.4,{
1961-06,8.2,{
1961-07,, 
1961-08,, 
1961-09,, 
1961-10,, 
1961-11,, 
1961-12,, 
1962-01,2.3,{
1962-02,2.0,{
1962-03,3.0,{
1962-04,3.8,{
1962-05,6.1,{
1962-06,7.5,{
1962-07,8.8,{
1962-08,9.7,{
1962-09,8.8,{
1962-10,6.8,{
1962-11,4.1,{
1962-12,3.4,{
1963-01,3.5,{
1963-02,3.9,{
1963-03,4.3,{
1963-04,3.8,{
1963-05,4.7,{
1963-06,7.5,{
1963-07,8.6,{
1963-08,9.3,{
1963-09,7.1,{
1963-10,5.4,{
1963-11,2.9,{
1963-12,4.7,{
1964-01,4.2,{
1964-02,4.0,{
1964-03,4.0,{
1964-04,5.1,{
1964-05,6.4,{
1964-06,, 
1964-07,8.9,{
1964-08,9.6,{
1964-09,7.7,{
1964-10,7.1,{
1964-11,5.4,{
1964-12,3.2,{
1965-01,3.1,{
1965-02,5.2,{
1965-03,4.5,{
1965-04,4.5,{
1965-05,6.6,{
1965-06,8.0,{
1965-07,10.4,{
1965-08,11.3,{
1965-09,8.7,{
1965-10,6.5,{
1965-11,5.1,{
1965-12,4.5,{
1966-01,3.1,{
1966-02,4.4,{
1966-03,2.6,{
1966-04,4.6,{
1966-05,5.6,{
1966-06,8.2,{
1966-07,9.6,{
1966-08,10.7,{
1966-09,9.5,{
1966-10,7.1,{
1966-11,4.2,{
1966-12,1.8,{
1967-01,5.4,{
1967-02,2.8,{
1967-03,0.5,{
1967-04,3.5,{
1967-05,5.4,{
1967-06,6.9,{
1967-07,9.3,{
1967-08,9.8,{
1967-09,7.0,{
1967-10,5.1,{
1967-11,3.3,{
1967-12,3.0,{
1968-01,2.8,{
1968-02,2.1,{
1968-03,1.1,{
1968-04,3.6,{
1968-05,6.5,{
1968-06,7.8,{
1968-07,10.7,{
1968-08,9.9,{
1968-09,8.9,{
1968-10,5.9,{
