Code,Latitude,Longitude,Elevation,Name
CA002100100,61.65,-137.4833,966.0,AISHIHIK_A
CA002100115,60.4667,-134.8333,820.0,ANNIE_LAKE_ROBINSON
CA002100120,62.3667,-133.3833,1158.0,ANVIL
CA002100160,62.4167,-140.8667,649.0,BEAVER_CREEK_A
CA002100163,60.0,-136.7667,836.0,BLANCHARD_RIVER
CA002100167,61.4667,-135.7833,716.0,BRAEBURN
CA002100182,61.3667,-139.05,806.0,BURWASH_A
CA002100200,60.1667,-134.7,660.0,CARCROSS
CA002100300,62.1,-136.3,525.0,CARMACKS
CA002100301,62.1167,-136.2,543.0,CARMACKS_CS
CA002100400,64.05,-139.4333,320.0,DAWSON
CA002100402,64.05,-139.1333,370.0,DAWSON_A
CA002100460,62.2,-134.3833,609.0,DRURY_CREEK
CA002100500,63.9167,-135.4833,814.0,ELSA
CA002100517,62.2,-133.3667,716.0,FARO_A
CA002100518,62.2,-133.3833,717.0,FARO_AUT
CA002100630,60.7667,-137.5833,595.0,HAINES_JUNCTION
CA002100636,69.5667,-138.9167,1.0,HERSCHEL_ISLAND
CA002100660,69.1667,-140.15,244.0,IVVAVIK_NAT_PARK
CA002100670,60.4833,-133.3,690.0,JOHNSONS_CROSSING
CA002100679,64.45,-138.2167,973.0,KLONDIKE
CA002100682,69.6167,-140.2,13.0,KOMAKUK_BEACH
CA002100685,69.5833,-140.1833,7.0,KOMAKUK_BEACH_A
CA002100693,63.25,-130.0333,1379.0,MACMILLAN_PASS
CA002100697,68.8,-140.85,568.0,MARGARET_LAKE
CA002100700,63.6167,-135.8667,504.0,MAYO_A
CA002100709,60.8833,-135.1833,655.0,MAYO_ROAD
CA002100719,63.6,-137.5167,457.0,MCQUESTEN
CA002100794,65.3667,-138.3,597.0,OGILVIE_RIVER
CA002100800,67.5667,-139.8333,250.0,OLD_CROW_A
CA002100805,67.5667,-139.8333,251.0,OLD_CROW_RCS
CA002100840,61.0333,-137.05,830.0,OTTER_FALLS_NCPC
CA002100880,62.8167,-137.3667,454.0,PELLY_RANCH
CA002100907,60.7667,-135.1167,713.0,PORTER_CREEK_WAHL
CA002100935,66.9833,-136.2167,731.0,ROCK_RIVER
CA002100940,61.9667,-132.4333,705.0,ROSS_RIVER_A
CA002100950,68.95,-137.2167,49.0,SHINGLE_POINT_A
CA002100FCG,61.1833,-129.1333,890.0,HOUR_LAKE
CA002100LRP,64.05,-139.1333,370.0,DAWSON
CA002101000,62.3667,-140.4,587.0,SNAG_A
CA002101030,63.3833,-136.6833,480.0,STEWART_CROSSING
CA002101070,64.1,-139.75,320.0,SWEDE_CREEK
CA002101081,60.0,-131.1833,891.0,SWIFT_RIVER
CA002101095,60.95,-135.5667,671.0,TAKHINI_RIVER_RANCH
CA002101099,60.1667,-132.75,705.0,TESLIN
CA002101100,60.1667,-132.7333,705.0,TESLIN_A
CA002101102,60.1667,-132.7333,705.0,TESLIN_AUT
CA002101135,60.9333,-129.2167,724.0,TUCHITUA
CA002101200,60.1167,-128.8167,687.0,WATSON_LAKE_A
CA002101204,60.1167,-128.8167,690.0,WATSON_LAKE_AUT
CA002101300,60.7167,-135.0667,706.0,WHITEHORSE_A
CA002101303,60.7167,-135.0667,706.0,WHITEHORSE_A
CA002101310,60.7333,-135.1,707.0,WHITEHORSE_AUTO
CA002101400,60.7167,-135.0333,640.0,WHITEHORSE_RIVERDALE
CA002101415,60.7333,-135.0833,707.0,WHITEHORSE_WSO
CA002200100,68.2167,-135.0,6.0,AKLAVIK_A
CA002200675,70.1667,-124.7167,87.0,CAPE_PARRY_A
CA002200824,67.05,-126.0833,259.0,COLVILLE_LAKE
CA002201022,65.2167,-123.4333,213.0,DELINE_CS
CA0022010H0,61.25,-124.4667,283.0,DEADMEN_VALLEY
CA0022010KA,65.2167,-123.4333,214.0,DELINE_A
CA002201400,66.2333,-128.65,81.0,FORT_GOOD_HOPE_A
CA002201450,66.25,-128.65,82.0,FORT_GOOD_HOPE_CS
CA002201500,66.25,-128.6333,42.0,FORT_GOOD_HOPE_2
CA002201575,60.2333,-123.4667,216.0,FORT_LIARD_A
CA002201579,60.2333,-123.4667,213.0,FORT_LIARD
CA002201600,67.4333,-134.8833,31.0,FORT_MCPHERSON
CA002201601,67.4,-134.8667,35.0,FORT_MCPHERSON_A
CA002201700,64.9167,-125.5667,100.0,TULITA_A
CA002201799,61.3167,-117.6,162.0,FORT_PROVIDENCE
CA002201800,61.3333,-117.6667,159.0,FORT_PROVIDENCE
CA002201900,62.7167,-109.1667,166.0,FORT_RELIANCE
CA002201903,62.7167,-109.1667,168.0,FORT_RELIANCE_AUT
CA002201998,61.1667,-113.6667,159.0,FORT_RESOLUTION
CA002202000,61.1833,-113.6833,160.0,FORT_RESOLUTION_A
CA002202100,61.8667,-121.35,132.0,FORT_SIMPSON
CA002202101,61.7667,-121.2333,169.0,FORT_SIMPSON_A
CA002202102,61.7667,-121.2333,168.0,FORT_SIMPSON_CLIMATE
CA002202115,61.7667,-121.2333,169.0,FORT_SIMPSON
CA002202196,60.0,-111.9333,183.0,FORT_SMITH
CA002202198,60.0,-111.8667,207.0,FORT_SMITH
CA002202200,60.0167,-111.9667,205.0,FORT_SMITH_A
CA002202202,60.0333,-111.9333,203.0,FORT_SMITH_CLIMATE
CA002202351,63.6,-105.1333,317.0,HANBURY_RIVER
CA002202398,60.85,-115.95,161.0,HAY_RIVER
CA002202400,60.8333,-115.7833,165.0,HAY_RIVER_A
CA002202402,60.8333,-115.7833,164.0,HAY_RIVER_CLIMATE
CA002202405,60.65,-116.0,213.0,HAY_RIVER_PARADISE_GDNS
CA002202560,61.9167,-113.7333,165.0,INNER_WHALEBACKS
CA002202570,68.3,-133.4833,68.0,INUVIK_A
CA002202578,68.3167,-133.5167,103.0,INUVIK_CLIMATE
CA002202580,68.3,-133.4833,67.0,INUVIK_CDA
CA002202582,68.3167,-133.5167,103.0,INUVIK_UA
CA002202678,63.1333,-117.25,271.0,LAC_LA_MARTRE
CA002202750,69.9333,-128.9667,89.0,NICHOLSON_PENINSULA
CA002202800,65.2833,-126.8,73.0,NORMAN_WELLS_A
CA002202801,65.2833,-126.8,73.0,NORMAN_WELLS
CA002202810,65.2833,-126.75,94.0,NORMAN_WELLS_CLIMATE
CA002203057,69.3667,-124.0833,5.0,PAULATUK_A
CA002203058,69.35,-124.0833,6.0,PAULATUK
CA002203095,69.6333,-135.45,17.0,PELLY_ISLAND
CA002203300,66.0833,-118.0333,191.0,PORT_RADIUM
CA002203342,61.9667,-127.2167,618.0,RABBIT_KETTLE
CA002203359,64.1167,-117.3333,223.0,RAE_LAKES
CA002203700,63.5167,-116.0,241.0,SNARE_RAPIDS
CA002203910,69.45,-133.0,18.0,TUKTOYAKTUK
CA002203912,69.4333,-133.0333,4.0,TUKTOYAKTUK_A
CA002203914,69.4333,-133.0167,5.0,TUKTOYAKTUK
CA002203918,69.2,-122.3667,552.0,TUKTUT_NOGAIT
CA002203922,61.95,-128.25,1143.0,TUNGSTEN
CA002204000,63.2167,-123.4333,150.0,WRIGLEY_A
CA002204100,62.4667,-114.4333,206.0,YELLOWKNIFE_A
CA002204101,62.4667,-114.4333,206.0,YELLOWKNIFE_A
CA002204110,62.45,-114.3833,200.0,YELLOWKNIFE_HENDERSON
CA002204200,62.6667,-114.25,159.0,YELLOWKNIFE_HYDRO
CA002204300,61.25,-123.75,204.0,YOHIN
CA00220B68C,69.6,-130.9167,102.0,LIVERPOOL_BAY
CA00220B6Q3,67.1833,-130.2333,63.0,LITTLE_CHICAGO
CA00220CQHR,60.4333,-121.2333,498.0,TROUT_LAKE
CA00220L002,62.4167,-110.6833,179.0,LUTSELK'E_CS
CA00220N001,64.7,-110.6167,468.0,EKATI_A
CA00220N003,61.1333,-122.85,183.0,LINDBURG_LANDING
CA00220N005,68.75,-133.5,85.0,TRAIL_VALLEY
CA002300500,64.3,-96.0833,19.0,BAKER_LAKE_A
CA002300501,64.3167,-96.0,51.0,BAKER_LAKE_CLIMATE
CA002300551,66.8333,-108.0167,5.0,BATHURST_INLET
CA002300700,63.3333,-90.7167,59.0,CHESTERFIELD
CA002300707,63.35,-90.7333,10.0,CHESTERFIELD_INLET_A
CA002300750,69.5833,-120.8,101.0,CLINTON_POINT
CA002300850,65.4833,-110.3667,451.0,CONTWOYTO_LAKE
CA002300900,67.8333,-115.1167,9.0,COPPERMINE
CA002300902,67.8167,-115.15,23.0,KUGLUKTUK_A
CA002300904,67.8167,-115.1333,23.0,KUGLUKTUK_CLIMATE
CA002300MKF,61.1,-94.0667,10.0,ARVIAT_A
CA002301000,64.2,-83.3667,62.0,CORAL_HARBOUR_A
